Modelo,ECRPS_Mean,ECRPS_Std,ECRPS_CV,ECRPS_Min,ECRPS_Q25,ECRPS_Median,ECRPS_Q75,ECRPS_Max,ECRPS_IQR
Block Bootstrapping,0.5575472520593602,0.293354655482661,0.5261520963454206,0.2211261372418492,0.35258695245826094,0.5013590889966737,0.8631820531268753,3.172213050261768,0.5105951006686145
LSPMW,0.8344295202560198,0.6415131851207863,0.7688045179944701,0.2234519414254572,0.4208365812617566,0.6353279709333195,1.0290222942689997,9.814071362413896,0.6081857130072431
LSPM,0.8111139442101248,0.6404914339078382,0.7896442151929204,0.2232601080105994,0.4098577219699353,0.613001698077249,1.014092801638335,9.490062804699347,0.6042350796683997
Sieve Bootstrap,0.6149967082116076,0.7690156447249321,1.2504386356167776,0.2209536572189499,0.3591695512336472,0.5107468420638818,0.8750624124585457,34.34107918488723,0.5158928612248985
EnCQR-LSTM,1.4687089494980017,2.7777005785989224,1.8912532531025485,0.2261016884671226,0.4204149859929355,0.6713759192762516,1.172162780370815,35.6487209920347,0.7517477943778795
DeepAR,0.9632085455690832,2.00726894202881,2.083940130372156,0.2292943890801501,0.4000429812432573,0.5789554924955105,0.9987167895305719,39.47170884393321,0.5986738082873145
MCPS,1.1449602495249314,2.8224325650866735,2.465092186613257,0.229263206634032,0.4033497018201896,0.5884097574243222,1.012346537134283,49.65270527338494,0.6089968353140934
AV-MCPS,1.0377292908475193,2.6332050113009524,2.5374681379094532,0.2232975618668053,0.3965943669024088,0.5827426359084977,1.0051373660319318,61.8293195578096,0.608542999129523
AREPD,3.083009902163499,9.530809453783503,3.0913976134475813,0.2277138748567462,0.42301521615096704,0.7089851910453813,1.3161945626912894,122.8321614363716,0.8931793465403224
