Modelo,ECRPS_Lineal,ECRPS_No_Lineal,Diferencia,Cambio_%
LSPM,0.730688849828017,0.6689124163230964,-0.06177643350492057,-8.454547174144091
LSPMW,0.7635654263809277,0.7003228637563345,-0.06324256262459327,-8.282533551099105
EnCQR-LSTM,0.6738910039462143,0.6377822566298987,-0.036108747316315526,-5.358247417589433
AREPD,0.7076673581473434,0.671070752218948,-0.03659660592839542,-5.171441851465988
MCPS,0.6265458465342421,0.630532023547642,0.003986177013399983,0.6362147375885813
AV-MCPS,0.621466430625928,0.6298428760402339,0.008376445414305933,1.3478516298731296
DeepAR,0.593546170671189,0.6049303049236746,0.011384134252485634,1.917986302499824
Block Bootstrapping,0.5396123934146867,0.6033414204845161,0.06372902706982941,11.810148886045747
Sieve Bootstrap,0.5418974578173613,0.6063784725206689,0.06448101470330758,11.899117401846157
