Escenario,Modelo_1,Modelo_2,DM_Statistic,P_Value,Diferencia_Media,Significativo
Estacionario_Lineal,AREPD,AV-MCPS,6.378800038365968,1.7848078570636972e-10,0.0862009275214154,Sí
Estacionario_Lineal,AREPD,Block Bootstrapping,12.058370623801405,0.0,0.16805496473265658,Sí
Estacionario_Lineal,AREPD,DeepAR,9.600255636547029,0.0,0.1141211874761544,Sí
Estacionario_Lineal,AREPD,EnCQR-LSTM,4.156819294488662,3.227090430235613e-05,0.03377635420112923,Sí
Estacionario_Lineal,AREPD,LSPM,-0.7951096783101413,0.4265497052786045,-0.023021491680673578,No
Estacionario_Lineal,AREPD,LSPMW,-2.8386455148328538,0.004530545680791587,-0.05589806823358434,Sí
Estacionario_Lineal,AREPD,MCPS,6.622165356854462,3.539746273872879e-11,0.08112151161310122,Sí
Estacionario_Lineal,AREPD,Sieve Bootstrap,11.934363627238884,0.0,0.16576990032998207,Sí
Estacionario_Lineal,AV-MCPS,Block Bootstrapping,6.941110560786803,3.8902214782865485e-12,0.08185403721124118,Sí
Estacionario_Lineal,AV-MCPS,DeepAR,3.4331445988075004,0.0005966238170835858,0.027920259954739013,Sí
Estacionario_Lineal,AV-MCPS,EnCQR-LSTM,-3.5874910435160525,0.0003338751976600385,-0.05242457332028616,Sí
Estacionario_Lineal,AV-MCPS,LSPM,-6.815391763555133,9.40070243871105e-12,-0.10922241920208897,Sí
Estacionario_Lineal,AV-MCPS,LSPMW,-8.244163285402228,2.220446049250313e-16,-0.14209899575499974,Sí
Estacionario_Lineal,AV-MCPS,MCPS,0.3257604047536792,0.7446056383775024,-0.005079415908314178,No
Estacionario_Lineal,AV-MCPS,Sieve Bootstrap,6.742721751268729,1.5544676656986667e-11,0.07956897280856667,Sí
Estacionario_Lineal,Block Bootstrapping,DeepAR,-16.624281643201474,0.0,-0.05393377725650217,Sí
Estacionario_Lineal,Block Bootstrapping,EnCQR-LSTM,-12.168981983767045,0.0,-0.13427861053152734,Sí
Estacionario_Lineal,Block Bootstrapping,LSPM,-14.693582262521032,0.0,-0.19107645641333015,Sí
Estacionario_Lineal,Block Bootstrapping,LSPMW,-15.104371140245513,0.0,-0.22395303296624092,Sí
Estacionario_Lineal,Block Bootstrapping,MCPS,-11.911314435834962,0.0,-0.08693345311955536,Sí
Estacionario_Lineal,Block Bootstrapping,Sieve Bootstrap,-2.8528324499692874,0.004333146149110068,-0.002285064402674508,Sí
Estacionario_Lineal,DeepAR,EnCQR-LSTM,-8.944945380230557,0.0,-0.08034483327502517,Sí
Estacionario_Lineal,DeepAR,LSPM,-11.891671594079131,0.0,-0.13714267915682798,Sí
Estacionario_Lineal,DeepAR,LSPMW,-12.660011781881233,0.0,-0.17001925570973875,Sí
Estacionario_Lineal,DeepAR,MCPS,-5.318087281402633,1.0486376633700445e-07,-0.03299967586305319,Sí
Estacionario_Lineal,DeepAR,Sieve Bootstrap,14.996598897850255,0.0,0.05164871285382766,Sí
Estacionario_Lineal,EnCQR-LSTM,LSPM,-4.205482515580146,2.605257303134323e-05,-0.05679784588180281,Sí
Estacionario_Lineal,EnCQR-LSTM,LSPMW,-6.058382172433087,1.3749741345492339e-09,-0.08967442243471357,Sí
Estacionario_Lineal,EnCQR-LSTM,MCPS,4.554222803192578,5.257960596916078e-06,0.04734515741197198,Sí
Estacionario_Lineal,EnCQR-LSTM,Sieve Bootstrap,12.01353808599012,0.0,0.13199354612885283,Sí
Estacionario_Lineal,LSPM,LSPMW,-7.5795407159872115,3.4638958368304884e-14,-0.03287657655291076,Sí
Estacionario_Lineal,LSPM,MCPS,8.434479474563094,0.0,0.1041430032937748,Sí
Estacionario_Lineal,LSPM,Sieve Bootstrap,14.557260008423178,0.0,0.18879139201065565,Sí
Estacionario_Lineal,LSPMW,MCPS,10.01576822444728,0.0,0.13701957984668556,Sí
Estacionario_Lineal,LSPMW,Sieve Bootstrap,14.990808240392264,0.0,0.2216679685635664,Sí
Estacionario_Lineal,MCPS,Sieve Bootstrap,11.52585036556079,0.0,0.08464838871688085,Sí
No_Estacionario_Lineal,AREPD,AV-MCPS,6.829384797784862,8.527845096750752e-12,7.40775566152964,Sí
No_Estacionario_Lineal,AREPD,Block Bootstrapping,6.4835631632240025,8.95814533663497e-11,9.024466286253528,Sí
No_Estacionario_Lineal,AREPD,DeepAR,6.362414721592547,1.9860624256295978e-10,7.611771127239148,Sí
No_Estacionario_Lineal,AREPD,EnCQR-LSTM,6.169387669174606,6.855496170743436e-10,5.904784149966576,Sí
No_Estacionario_Lineal,AREPD,LSPM,6.459362807007039,1.0514478177015008e-10,8.475777779383549,Sí
No_Estacionario_Lineal,AREPD,LSPMW,6.459564884575038,1.0500444957983746e-10,8.476947361308454,Sí
No_Estacionario_Lineal,AREPD,MCPS,6.7378965673937445,1.606959010302944e-11,7.018865961220913,Sí
No_Estacionario_Lineal,AREPD,Sieve Bootstrap,6.446697544088941,1.1431366964131939e-10,8.818036897271632,Sí
No_Estacionario_Lineal,AV-MCPS,Block Bootstrapping,2.9540061444198553,0.0031367776021209437,1.6167106247238885,Sí
No_Estacionario_Lineal,AV-MCPS,DeepAR,1.192736247180639,0.23297268508083757,0.20401546570950813,No
No_Estacionario_Lineal,AV-MCPS,EnCQR-LSTM,-0.8290788753592101,0.4070597764217696,-1.502971511563064,No
No_Estacionario_Lineal,AV-MCPS,LSPM,2.7766806962916437,0.00549170997224202,1.0680221178539089,Sí
No_Estacionario_Lineal,AV-MCPS,LSPMW,2.782517789433755,0.0053938908166364374,1.0691916997788131,Sí
